F0_01-0_1,F0_1-0_2,F0_2-0_5,F0_5-1,F1-2,F2-4,F4-8,F8-16,F16-25,F25-35,F35-50,F50-63,F63-75,F75-88,F88-105,F105-125,F125-150,F150-177,F177-210,F210-250,F250-300,F300-354,F354-420,F420-500,F500-600,F600-707,F707-850,F850-1000,F1000-1190,F1190-1410,F1410-1680,F1680-2000,Kf,lithoclass
0.0,0.0,0.243807,1.820685,1.749213,3.515945,4.964883,6.888092,6.339015,5.223805,4.793468,2.725366,2.142673,2.441228,3.610061,4.558993,5.763884,5.976539,6.637789,6.575462,6.31537,5.213734,4.450716,2.946437,1.538087,1.029184,1.275203,1.017213,0.243149,0.0,0.0,0.0,1.4e-05,kz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018952,0.129118,0.349429,0.416091,0.578045,1.805342,6.018891,13.342941,22.821794,23.290234,19.453691,10.290513,1.484961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048102,0.266627,0.397648,0.394369,0.872176,3.397369,8.72994,17.314388,20.299153,20.329786,14.978917,7.579722,2.667382,1.712811,0.959414,0.052196,0.0,0.0,0.0,24.0,zg
0.0,0.0,0.288089,2.196206,1.701194,3.18646,4.621832,7.299877,7.81944,7.858665,10.836183,9.79766,9.102139,9.038291,9.186071,6.317542,3.135515,1.131234,1.138665,1.309761,1.441383,1.341369,1.015498,0.227713,0.009213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013,kz
0.0,0.0,0.0,0.0,0.767265,1.607474,2.373553,3.405768,3.261187,3.942956,7.442387,9.029231,10.645591,12.658659,15.104376,12.474929,7.925124,3.438662,1.94066,1.245331,1.06254,1.021543,0.616355,0.036408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,zf
0.0,0.0,0.0,0.0,0.164826,0.442486,0.652365,0.874464,0.814099,1.195881,2.753011,3.164337,5.464028,9.347326,17.010029,20.0743,18.383227,10.595007,4.946094,1.342974,0.675534,1.128211,0.909542,0.06226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,zf
0.0,0.0,0.0,0.0,0.358818,0.876222,1.27262,1.634642,1.355694,1.558252,2.956228,3.494599,5.666843,9.163723,15.903445,18.479584,17.070203,10.25352,5.273695,1.811367,0.900194,1.107328,0.811638,0.051388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900000000000001,zf
0.0,0.0,0.536094,2.059384,2.585844,5.666884,9.623364,13.701248,11.846155,10.585876,10.495183,5.541481,3.618167,3.456582,4.462661,4.67222,4.298485,2.832189,1.773115,0.565355,0.10349,0.494741,0.967559,0.113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-06,kz
0.0,0.0,0.0,0.0,0.722673,1.819347,3.781929,8.656236,10.896256,12.028029,15.751844,10.241784,7.012645,6.040102,6.213898,4.836652,2.976559,1.551408,1.849559,2.154787,1.68797,0.997821,0.584678,0.184436,0.011385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,v
0.0,0.0,0.0,0.0,0.0,0.064743,0.455695,0.531945,0.329315,0.191974,0.232112,0.530931,0.897361,1.675213,4.02212,8.190095,14.791983,18.093349,19.477783,15.758652,9.608016,3.855513,1.239933,0.053263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,zm
